version_date,current_value,predict_value,previous_value,refresh_date
2023-01-06,--,20,26.3,2023-01-27 22:23:28
2022-12-02,26.3,20,28.4,2023-01-27 22:23:28
2022-11-04,26.1,20,31.5,2023-01-27 22:23:28
2022-10-07,26.3,25,31.5,2023-01-27 22:23:28
2022-09-02,31.5,30,52.6,2023-01-27 22:23:28
2022-08-05,52.8,25,39.8,2023-01-27 22:23:28
2022-07-08,37.2,26.8,38.4,2023-01-27 22:23:28
2022-06-03,39,32.5,43.6,2023-01-27 22:23:28
2022-05-06,42.8,39.1,42.8,2023-01-27 22:23:28
2022-04-01,43.1,49,75,2023-01-27 22:23:28
2022-03-04,67.8,40,48.1,2023-01-27 22:23:28
2022-02-04,46.7,15,51,2023-01-27 22:23:28
2022-01-07,19.9,40,24.9,2023-01-27 22:23:28
2021-12-03,21,55,54.6,2023-01-27 22:23:28
2021-11-05,53.1,45,31.2,2023-01-27 22:23:28
2021-10-08,19.4,50,36.6,2023-01-27 22:23:28
2021-09-03,23.5,75,105.3,2023-01-27 22:23:28
2021-08-06,94.3,87,93.8,2023-01-27 22:23:28
2021-07-02,85,70,58.3,2023-01-27 22:23:28
2021-06-04,55.9,65,27.8,2023-01-27 22:23:28
